epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,881.179,2.3182,4.9683,1.52599,0.16987,0.08592,0.03405,0.01913,1.60703,3.90862,1.15986,6.29893e-05,6.29893e-05,6.29893e-05
2,1681.85,1.79587,3.64672,1.23627,0.11061,0.33873,0.12173,0.07616,1.3507,2.98409,1.09634,0.000123495,0.000123495,0.000123495
3,2419.41,1.63099,3.05973,1.20711,0.2202,0.47784,0.25615,0.17013,1.19827,2.86089,1.05482,0.000181505,0.000181505,0.000181505
4,3134.67,1.54618,2.76547,1.1808,0.2704,0.57768,0.33108,0.22155,1.16289,2.95894,1.04138,0.000177773,0.000177773,0.000177773
5,3820.72,1.48941,2.55458,1.1638,0.3417,0.63268,0.43813,0.30753,1.10489,2.45875,1.01552,0.000174031,0.000174031,0.000174031
6,4525.94,1.44665,2.40727,1.14208,0.4447,0.64449,0.51586,0.36726,1.07248,2.16755,1.00592,0.000170289,0.000170289,0.000170289
7,5212.69,1.40525,2.28791,1.13405,0.48622,0.60592,0.54902,0.39075,1.06147,2.1037,1.00592,0.000166547,0.000166547,0.000166547
8,5886.69,1.37502,2.18912,1.11854,0.48863,0.69058,0.58622,0.42325,1.03303,2.05158,0.99443,0.000162805,0.000162805,0.000162805
9,6552.54,1.35201,2.11775,1.11267,0.50696,0.69215,0.62309,0.45197,1.01967,1.80166,0.98783,0.000159062,0.000159062,0.000159062
10,7249.96,1.32452,2.04157,1.10169,0.55709,0.70235,0.65051,0.4746,1.00787,1.70264,0.98619,0.00015532,0.00015532,0.00015532
11,7966.57,1.30931,1.97801,1.10048,0.58267,0.69212,0.68437,0.50219,0.99785,1.64051,0.98059,0.000151578,0.000151578,0.000151578
12,8627.78,1.29759,1.92918,1.09046,0.61381,0.71276,0.70179,0.51829,0.98572,1.52547,0.97548,0.000147836,0.000147836,0.000147836
13,9302.15,1.28039,1.89415,1.08868,0.63228,0.73852,0.72496,0.53894,0.98171,1.42467,0.97134,0.000144094,0.000144094,0.000144094
14,9959.57,1.2702,1.82819,1.08432,0.65385,0.73691,0.73505,0.55115,0.96298,1.36889,0.96523,0.000140351,0.000140351,0.000140351
15,10617.9,1.25379,1.80311,1.07722,0.67752,0.73867,0.74756,0.5568,0.97224,1.33838,0.9688,0.000136609,0.000136609,0.000136609
16,11216.8,1.24709,1.74894,1.07199,0.68128,0.74524,0.75985,0.57,0.94823,1.32887,0.96001,0.000132867,0.000132867,0.000132867
17,11836.4,1.24021,1.72791,1.06663,0.70428,0.7385,0.77667,0.58157,0.94471,1.26006,0.95723,0.000129125,0.000129125,0.000129125
18,12432.2,1.22385,1.69488,1.0627,0.70563,0.76207,0.78278,0.5852,0.94354,1.22266,0.95896,0.000125383,0.000125383,0.000125383
19,13054,1.21705,1.66386,1.05874,0.73321,0.75142,0.79568,0.598,0.93485,1.16426,0.95379,0.00012164,0.00012164,0.00012164
20,13667.6,1.21453,1.64146,1.05877,0.74051,0.77438,0.80459,0.60677,0.93378,1.16962,0.95483,0.000117898,0.000117898,0.000117898
21,14270.4,1.20999,1.61569,1.05676,0.71954,0.79052,0.80944,0.61089,0.92844,1.13441,0.95008,0.000114156,0.000114156,0.000114156
22,14890.2,1.19274,1.59036,1.04993,0.73212,0.77828,0.81678,0.61889,0.91839,1.10909,0.94807,0.000110414,0.000110414,0.000110414
